Customer ID,First Name,Last Name,Age,Gender,Address,City,Contact Number,Email,Account Type,Account Balance,Date Of Account Opening,Last Transaction Date,TransactionID,Transaction Date,Transaction Type,Transaction Amount,Account Balance After Transaction,Branch ID,Loan ID,Loan Amount,Loan Type,Interest Rate,Loan Term,Approval/Rejection Date,Loan Status,CardID,Card Type,Credit Limit,Credit Card Balance,Minimum Payment Due,Payment Due Date,Last Credit Card Payment Date,Rewards Points,Feedback ID,Feedback Date,Feedback Type,Resolution Status,Resolution Date
1339,Michael,Harris,27,Other,Address_1339,Fresno,19458796192,michael.harris@kag.com,Savings,6946.91,9/11/2014,3/14/2023,1339,1/4/2023,Withdrawal,290.8,7237.71,25,1339,11620.36,Auto,1.02,48,3/14/2021,Closed,1339,Visa,1071.71,801.36,40.07,3/29/2023,8/19/2023,1911,1339,8/9/2023,Praise,Pending,10/22/2023
1340,Nancy,Johnson,58,Other,Address_1340,Tucson,19458796193,nancy.johnson@kag.com,Savings,9771.17,12/4/2003,4/16/2023,1340,1/2/2023,Withdrawal,1606,11377.17,93,1340,24360.59,Mortgage,6.62,12,5/13/2020,Closed,1340,MasterCard,6846.75,2361.14,118.06,1/14/2023,5/28/2023,1059,1340,7/16/2023,Suggestion,Resolved,6/10/2023
1341,Daniel,Lopez,44,Other,Address_1341,Phoenix,19458796194,daniel.lopez@kag.com,Current,5260.94,1/30/2005,8/12/2023,1341,10/18/2023,Withdrawal,1014.42,6275.36,26,1341,45603.75,Personal,8.66,48,5/31/2022,Closed,1341,Visa,6186.46,3339.71,166.99,9/25/2023,1/28/2023,8416,1341,2/21/2023,Suggestion,Resolved,7/27/2023
1342,Linda,Flores,35,Other,Address_1342,Chicago,19458796195,linda.flores@kag.com,Current,162.61,3/12/2004,1/10/2023,1342,12/27/2023,Withdrawal,2592.44,-2429.83,51,1342,6670.16,Auto,1.49,12,8/14/2022,Rejected,1342,Visa,6130.19,729.14,36.46,5/17/2023,11/22/2023,2749,1342,1/3/2023,Praise,Resolved,10/29/2023
1343,Timothy,Rodriguez,21,Other,Address_1343,San Antonio,19458796196,timothy.rodriguez@kag.com,Current,4347.43,10/14/2018,10/10/2023,1343,5/21/2023,Deposit,1757.49,2589.94,66,1343,49388.05,Mortgage,8.24,60,12/21/2022,Rejected,1343,Visa,9567.03,69.73,3.49,9/21/2023,5/31/2023,8706,1343,12/30/2023,Praise,Resolved,10/7/2023
1344,Paul,Lopez,57,Other,Address_1344,Las Vegas,19458796197,paul.lopez@kag.com,Savings,1056.06,8/3/2013,9/27/2023,1344,4/25/2023,Transfer,867.01,1923.07,61,1344,8037.56,Mortgage,9.8,36,8/5/2020,Closed,1344,MasterCard,4365.03,4715.07,235.75,5/9/2023,3/14/2023,9704,1344,10/17/2023,Complaint,Pending,2/16/2023
1345,Michael,Sanchez,40,Female,Address_1345,Washington,19458796198,michael.sanchez@kag.com,Current,1252.89,2/4/2004,9/22/2023,1345,4/25/2023,Withdrawal,4222.85,5475.74,15,1345,7978.46,Mortgage,9.28,60,8/1/2022,Approved,1345,Visa,9104.7,3903.75,195.19,7/23/2023,2/8/2023,7601,1345,7/17/2023,Praise,Pending,3/20/2023
1346,Steven,Rodriguez,38,Female,Address_1346,El Paso,19458796199,steven.rodriguez@kag.com,Savings,2623.52,9/2/2022,5/17/2023,1346,9/20/2023,Transfer,2544.77,78.75,45,1346,40830.11,Auto,5.83,48,12/19/2022,Approved,1346,AMEX,1020.5,3911.04,195.55,9/23/2023,10/17/2023,7411,1346,12/18/2023,Suggestion,Pending,7/22/2023
1347,Betty,Martinez,53,Male,Address_1347,Baltimore,19458796200,betty.martinez@kag.com,Current,3875.54,4/12/2005,8/6/2023,1347,5/4/2023,Transfer,556.55,3318.99,6,1347,41588.98,Auto,8.74,60,7/28/2020,Approved,1347,AMEX,9664.28,4602.61,230.13,11/21/2023,5/30/2023,5106,1347,12/3/2023,Complaint,Resolved,3/30/2023
1348,Timothy,Young,47,Female,Address_1348,Seattle,19458796201,timothy.young@kag.com,Current,4867.84,2/19/2016,8/12/2023,1348,9/7/2023,Withdrawal,385.91,4481.93,58,1348,2858.01,Mortgage,7.94,36,7/1/2022,Rejected,1348,MasterCard,5966.34,2890.61,144.53,12/8/2023,3/29/2023,7779,1348,10/9/2023,Complaint,Pending,8/21/2023
1349,Linda,King,65,Female,Address_1349,Albuquerque,19458796202,linda.king@kag.com,Current,1781.22,2/23/2021,12/27/2023,1349,10/22/2023,Withdrawal,1922.07,3703.29,1,1349,9246.96,Personal,8.36,60,5/28/2020,Rejected,1349,Visa,5586.58,3207.79,160.39,10/5/2023,11/9/2023,6907,1349,10/27/2023,Complaint,Resolved,1/8/2023
1350,Kimberly,Mitchell,38,Male,Address_1350,San Antonio,19458796203,kimberly.mitchell@kag.com,Current,3186.03,2/10/2005,10/18/2023,1350,4/1/2023,Deposit,4540.83,-1354.8,73,1350,47477.86,Mortgage,4.58,36,6/28/2020,Closed,1350,AMEX,9022.15,1044.91,52.25,10/19/2023,6/24/2023,4985,1350,8/24/2023,Complaint,Pending,3/21/2023
1351,Andrew,Martin,40,Male,Address_1351,Tucson,19458796204,andrew.martin@kag.com,Savings,2837.74,4/9/2022,6/3/2023,1351,2/18/2023,Transfer,2544.92,292.82,43,1351,14687.92,Auto,5.28,24,2/6/2021,Rejected,1351,AMEX,6725.5,2351.91,117.6,11/26/2023,1/18/2023,2619,1351,12/30/2023,Praise,Resolved,3/2/2023
1352,Emily,Hill,38,Other,Address_1352,Phoenix,19458796205,emily.hill@kag.com,Current,3715.95,9/10/2010,6/18/2023,1352,9/30/2023,Withdrawal,704.29,3011.66,16,1352,1599.74,Personal,3.15,48,5/26/2020,Closed,1352,Visa,5693.91,787.96,39.4,9/12/2023,9/21/2023,5109,1352,5/24/2023,Suggestion,Resolved,9/12/2023
1353,Nancy,Johnson,25,Male,Address_1353,Louisville,19458796206,nancy.johnson@kag.com,Current,1169.11,2/20/2015,12/31/2023,1353,6/2/2023,Withdrawal,1240.7,-71.59,14,1353,13448.06,Mortgage,1.46,48,10/8/2022,Approved,1353,Visa,4458.92,494.25,24.71,3/20/2023,11/13/2023,3166,1353,3/6/2023,Complaint,Resolved,7/10/2023
1354,Susan,Smith,56,Male,Address_1354,San Diego,19458796207,susan.smith@kag.com,Savings,4033.68,11/28/2013,4/16/2023,1354,8/10/2023,Deposit,256.9,3776.78,74,1354,37036.2,Auto,6.38,36,10/7/2020,Closed,1354,AMEX,6932.66,1276.63,63.83,12/16/2023,5/2/2023,9034,1354,4/24/2023,Complaint,Pending,12/3/2023
1355,Emily,Scott,30,Female,Address_1355,Charlotte,19458796208,emily.scott@kag.com,Current,5588.07,5/1/2010,5/1/2023,1355,5/22/2023,Withdrawal,4160.88,1427.19,19,1355,45906.22,Auto,3.79,12,7/28/2022,Rejected,1355,AMEX,1478.2,2297.57,114.88,8/23/2023,7/19/2023,315,1355,8/29/2023,Complaint,Resolved,2/8/2023
1356,Melissa,White,57,Other,Address_1356,Houston,19458796209,melissa.white@kag.com,Current,1059.79,4/13/2001,3/8/2023,1356,8/9/2023,Transfer,4730.8,5790.59,51,1356,8602.67,Mortgage,5.52,36,6/25/2022,Approved,1356,AMEX,3230.41,3191.22,159.56,9/6/2023,2/12/2023,9681,1356,10/14/2023,Suggestion,Pending,6/12/2023
1357,Kevin,Clark,39,Male,Address_1357,Fresno,19458796210,kevin.clark@kag.com,Current,5255.63,5/10/2022,10/13/2023,1357,9/18/2023,Withdrawal,398.29,4857.34,8,1357,11996.28,Personal,9.66,24,8/10/2021,Rejected,1357,AMEX,1907.6,2521.64,126.08,8/26/2023,4/3/2023,255,1357,4/17/2023,Praise,Pending,3/6/2023
1358,Jessica,Johnson,24,Other,Address_1358,Phoenix,19458796211,jessica.johnson@kag.com,Savings,7583.54,8/22/2012,10/12/2023,1358,7/18/2023,Withdrawal,873.18,6710.36,48,1358,22635.03,Personal,1.57,48,6/4/2020,Approved,1358,Visa,5550.17,4472.27,223.61,7/9/2023,5/25/2023,9313,1358,6/5/2023,Suggestion,Pending,4/24/2023
1359,Patricia,Walker,41,Other,Address_1359,Tucson,19458796212,patricia.walker@kag.com,Savings,181.57,8/12/2004,3/25/2023,1359,3/24/2023,Deposit,863.63,1045.2,12,1359,37666.82,Mortgage,8.86,48,3/6/2020,Rejected,1359,MasterCard,1867.84,1634.2,81.71,12/3/2023,11/24/2023,9726,1359,2/7/2023,Suggestion,Pending,10/5/2023
1360,Paul,Wilson,22,Male,Address_1360,Phoenix,19458796213,paul.wilson@kag.com,Current,570.53,10/11/2000,11/20/2023,1360,8/1/2023,Transfer,4020.49,-3449.96,70,1360,33276.15,Auto,1.78,60,4/23/2022,Rejected,1360,Visa,8302.15,4234.06,211.7,3/9/2023,9/2/2023,1509,1360,8/17/2023,Complaint,Resolved,2/16/2023
1361,Charles,Johnson,67,Male,Address_1361,Kansas City,19458796214,charles.johnson@kag.com,Current,4718.1,7/3/2013,1/14/2023,1361,11/3/2023,Transfer,4197.97,520.13,35,1361,17049.15,Mortgage,6.88,36,2/8/2022,Approved,1361,MasterCard,3621.87,2178.6,108.93,1/10/2023,10/5/2023,9609,1361,5/30/2023,Praise,Resolved,4/27/2023
1362,Susan,Lewis,43,Male,Address_1362,Fresno,19458796215,susan.lewis@kag.com,Savings,8740.5,2/2/2015,12/31/2023,1362,8/1/2023,Transfer,2102.18,10842.68,70,1362,4251.24,Auto,4.09,24,11/22/2022,Approved,1362,Visa,6602.03,690.14,34.51,12/29/2023,9/30/2023,80,1362,5/17/2023,Suggestion,Pending,10/5/2023
1363,Donald,Anderson,68,Male,Address_1363,Detroit,19458796216,donald.anderson@kag.com,Savings,9978.11,10/20/2006,6/29/2023,1363,9/30/2023,Withdrawal,4846.96,5131.15,6,1363,13395.07,Auto,1.9,60,9/7/2020,Approved,1363,Visa,4004.07,4329.2,216.46,9/18/2023,9/7/2023,7339,1363,1/25/2023,Complaint,Pending,11/8/2023
1364,Deborah,Lopez,27,Other,Address_1364,New York,19458796217,deborah.lopez@kag.com,Current,1024.6,3/8/2003,2/8/2023,1364,5/6/2023,Withdrawal,1304.79,-280.19,99,1364,11758.61,Auto,7.81,12,10/18/2022,Closed,1364,MasterCard,7294.78,2446.54,122.33,7/4/2023,3/9/2023,6338,1364,2/5/2023,Praise,Resolved,1/2/2023
1365,Karen,Torres,28,Female,Address_1365,Houston,19458796218,karen.torres@kag.com,Savings,281.59,4/20/2004,10/4/2023,1365,3/2/2023,Withdrawal,2630.35,2911.94,11,1365,2031.63,Auto,7.29,60,10/16/2022,Closed,1365,AMEX,4183.2,700.15,35.01,4/27/2023,5/28/2023,4013,1365,8/21/2023,Praise,Pending,7/17/2023
1366,John,Ramirez,57,Other,Address_1366,Colorado Springs,19458796219,john.ramirez@kag.com,Current,2364.82,12/23/2010,11/23/2023,1366,12/13/2023,Transfer,4981.48,7346.3,38,1366,48776.96,Mortgage,6.76,24,1/16/2021,Rejected,1366,AMEX,4413.87,940.79,47.04,1/29/2023,6/23/2023,583,1366,6/7/2023,Praise,Resolved,4/28/2023
1367,Elizabeth,Martin,55,Other,Address_1367,Detroit,19458796220,elizabeth.martin@kag.com,Savings,4727.96,7/12/2021,1/6/2023,1367,1/31/2023,Transfer,4137.25,8865.21,91,1367,13513.21,Auto,9.68,36,10/14/2021,Rejected,1367,Visa,5320.64,360.9,18.04,8/17/2023,1/31/2023,1115,1367,2/6/2023,Suggestion,Resolved,12/1/2023
1368,John,Hill,28,Other,Address_1368,Tucson,19458796221,john.hill@kag.com,Savings,5760.78,12/25/2012,7/2/2023,1368,1/15/2023,Transfer,2441.05,3319.73,26,1368,41990.22,Personal,1.21,12,3/30/2022,Approved,1368,MasterCard,3912.19,3221.11,161.06,11/22/2023,9/16/2023,4208,1368,7/24/2023,Praise,Pending,4/28/2023
1369,Steven,White,65,Male,Address_1369,Tucson,19458796222,steven.white@kag.com,Current,9737.5,1/24/2001,2/9/2023,1369,12/26/2023,Transfer,551.54,9185.96,28,1369,24758.22,Personal,4.91,48,7/10/2020,Rejected,1369,AMEX,2534.67,1815.75,90.79,6/24/2023,1/22/2023,1719,1369,12/29/2023,Complaint,Pending,12/8/2023
1370,Daniel,Lee,47,Male,Address_1370,San Diego,19458796223,daniel.lee@kag.com,Current,8895.79,7/10/2001,7/17/2023,1370,2/9/2023,Withdrawal,4522.72,13418.51,72,1370,48642.25,Mortgage,6.06,60,2/5/2022,Approved,1370,Visa,4932.53,4832.09,241.6,9/2/2023,5/6/2023,2498,1370,8/26/2023,Suggestion,Pending,9/26/2023
1371,Charles,Martinez,21,Female,Address_1371,Oklahoma City,19458796224,charles.martinez@kag.com,Current,5664.78,12/6/2017,6/2/2023,1371,11/17/2023,Deposit,2715.21,8379.99,89,1371,8328.1,Auto,4.22,24,11/17/2021,Approved,1371,Visa,6972.09,2692.17,134.61,5/25/2023,6/30/2023,8200,1371,2/14/2023,Complaint,Pending,12/23/2023
1372,Christopher,Rivera,19,Female,Address_1372,Indianapolis,19458796225,christopher.rivera@kag.com,Savings,3680.97,6/23/2005,9/9/2023,1372,10/3/2023,Transfer,1548.65,2132.32,83,1372,6422.98,Auto,7.03,36,12/28/2020,Rejected,1372,Visa,3935.36,1227.24,61.36,8/19/2023,2/23/2023,974,1372,12/3/2023,Complaint,Pending,6/15/2023
1373,Deborah,Wilson,30,Female,Address_1373,Nashville,19458796226,deborah.wilson@kag.com,Current,3280.84,3/29/2021,8/17/2023,1373,8/21/2023,Deposit,2261.58,1019.26,80,1373,1120.68,Auto,9.09,60,9/10/2021,Approved,1373,AMEX,8286.68,2944.5,147.22,9/10/2023,1/27/2023,2290,1373,1/1/2023,Suggestion,Pending,5/6/2023
1374,Christopher,Torres,56,Other,Address_1374,Detroit,19458796227,christopher.torres@kag.com,Current,5768.98,11/9/2006,3/30/2023,1374,11/17/2023,Transfer,1561.53,4207.45,50,1374,36203.91,Mortgage,7.27,24,5/15/2020,Rejected,1374,Visa,8386.74,4883.54,244.18,4/5/2023,10/14/2023,2963,1374,11/27/2023,Praise,Pending,11/5/2023
1375,Margaret,Moore,34,Female,Address_1375,El Paso,19458796228,margaret.moore@kag.com,Savings,7241.39,8/26/2009,1/22/2023,1375,10/15/2023,Deposit,2759.77,4481.62,58,1375,16012.44,Personal,6.12,12,9/3/2021,Approved,1375,Visa,2877.71,115.66,5.78,8/13/2023,6/16/2023,5434,1375,11/20/2023,Suggestion,Pending,6/7/2023
1376,Mark,White,40,Other,Address_1376,Seattle,19458796229,mark.white@kag.com,Savings,4868.49,10/25/2016,11/8/2023,1376,8/28/2023,Deposit,1371.95,3496.54,26,1376,43647.39,Auto,7.64,60,5/14/2022,Closed,1376,AMEX,3429.35,849.19,42.46,2/2/2023,2/26/2023,3105,1376,12/31/2023,Complaint,Pending,3/22/2023
1377,Karen,Wilson,62,Male,Address_1377,Milwaukee,19458796230,karen.wilson@kag.com,Current,3113.55,8/3/2014,10/29/2023,1377,5/30/2023,Deposit,2235.46,878.09,44,1377,32056.44,Personal,1.99,60,9/5/2021,Approved,1377,MasterCard,1020.85,4640.78,232.04,7/28/2023,11/19/2023,2872,1377,5/29/2023,Suggestion,Pending,10/30/2023
1378,Mary,King,27,Other,Address_1378,Fort Worth,19458796231,mary.king@kag.com,Savings,6170.34,6/30/2003,4/30/2023,1378,3/3/2023,Withdrawal,2137.04,8307.38,15,1378,29294.16,Auto,6.67,36,11/7/2022,Rejected,1378,Visa,4174.43,122.79,6.14,2/25/2023,4/13/2023,1064,1378,10/23/2023,Complaint,Resolved,8/10/2023
1379,James,Lopez,30,Male,Address_1379,New York,19458796232,james.lopez@kag.com,Current,5623.63,1/23/2020,7/3/2023,1379,8/9/2023,Deposit,3084.19,8707.82,76,1379,24857.69,Auto,4.67,24,11/9/2022,Closed,1379,Visa,9215.18,4816.74,240.84,9/12/2023,11/14/2023,3452,1379,5/9/2023,Praise,Pending,2/3/2023
1380,Timothy,Perez,59,Male,Address_1380,Dallas,19458796233,timothy.perez@kag.com,Savings,4330.95,12/10/2008,7/25/2023,1380,9/8/2023,Withdrawal,80.69,4250.26,24,1380,13650.51,Personal,3.87,24,8/6/2021,Rejected,1380,Visa,8041.02,3139.12,156.96,10/31/2023,12/13/2023,6906,1380,1/21/2023,Suggestion,Pending,7/3/2023
1381,Robert,Garcia,56,Female,Address_1381,Chicago,19458796234,robert.garcia@kag.com,Savings,7508.72,3/19/2017,3/31/2023,1381,1/11/2023,Deposit,2997.77,4510.95,77,1381,4169.74,Mortgage,5.56,48,9/7/2021,Approved,1381,MasterCard,9644.16,1158.37,57.92,4/4/2023,10/16/2023,7642,1381,1/9/2023,Suggestion,Resolved,12/18/2023
1382,Sarah,Scott,59,Male,Address_1382,Detroit,19458796235,sarah.scott@kag.com,Savings,2893.99,7/27/2011,4/26/2023,1382,2/7/2023,Withdrawal,2969.64,-75.65,59,1382,22734.83,Auto,8.24,48,4/24/2020,Approved,1382,AMEX,2928.09,448.42,22.42,5/19/2023,3/1/2023,233,1382,6/29/2023,Suggestion,Pending,8/14/2023
1383,William,Hall,46,Female,Address_1383,Dallas,19458796236,william.hall@kag.com,Savings,4900.76,7/28/2005,6/12/2023,1383,3/6/2023,Transfer,1967.52,6868.28,57,1383,5856.86,Mortgage,4.71,24,9/4/2021,Rejected,1383,MasterCard,6150.72,520.67,26.03,7/6/2023,5/28/2023,9462,1383,6/24/2023,Praise,Resolved,1/7/2023
1384,Carol,Scott,33,Female,Address_1384,Indianapolis,19458796237,carol.scott@kag.com,Current,9409.36,11/28/2015,4/14/2023,1384,7/10/2023,Transfer,1242.03,10651.39,17,1384,45380.83,Auto,7.32,60,8/22/2021,Rejected,1384,AMEX,4282.47,4188.76,209.44,5/10/2023,5/16/2023,3578,1384,2/5/2023,Suggestion,Pending,12/3/2023
1385,Mary,Perez,20,Female,Address_1385,Las Vegas,19458796238,mary.perez@kag.com,Savings,7256,9/14/2003,5/28/2023,1385,2/7/2023,Deposit,4197.86,3058.14,77,1385,41637.13,Auto,6.3,12,6/15/2022,Closed,1385,Visa,6542.91,4107.15,205.36,7/26/2023,3/17/2023,574,1385,8/26/2023,Complaint,Resolved,6/26/2023
1386,Michael,Wilson,53,Other,Address_1386,Columbus,19458796239,michael.wilson@kag.com,Current,3940.92,6/12/2015,9/28/2023,1386,9/12/2023,Withdrawal,1730.47,5671.39,81,1386,31368.3,Auto,9.25,48,1/6/2021,Closed,1386,MasterCard,7696.77,4169.32,208.47,7/24/2023,5/21/2023,7993,1386,9/2/2023,Suggestion,Pending,10/23/2023
1387,Daniel,Thomas,21,Female,Address_1387,Chicago,19458796240,daniel.thomas@kag.com,Savings,5507.16,1/26/2008,4/20/2023,1387,9/26/2023,Transfer,1565.53,3941.63,1,1387,23169.54,Auto,5,48,4/14/2022,Closed,1387,Visa,1854.48,4803.22,240.16,10/17/2023,9/3/2023,4823,1387,7/8/2023,Suggestion,Resolved,8/24/2023
1388,Barbara,Scott,53,Female,Address_1388,Fresno,19458796241,barbara.scott@kag.com,Current,4114.27,6/12/2011,7/19/2023,1388,9/1/2023,Withdrawal,2321.2,6435.47,11,1388,23255.57,Mortgage,8.38,12,5/19/2022,Rejected,1388,AMEX,1790.35,1952.96,97.65,3/8/2023,1/30/2023,5042,1388,8/2/2023,Praise,Pending,8/7/2023
1389,Sarah,Harris,33,Male,Address_1389,Tucson,19458796242,sarah.harris@kag.com,Current,1214.23,8/4/2013,10/7/2023,1389,10/7/2023,Withdrawal,1397.17,2611.4,20,1389,23761.24,Mortgage,8.58,36,4/22/2022,Rejected,1389,Visa,1979.23,4579.2,228.96,6/13/2023,2/18/2023,6193,1389,3/8/2023,Praise,Pending,10/26/2023
1390,Robert,Young,58,Other,Address_1390,Las Vegas,19458796243,robert.young@kag.com,Savings,3415.88,10/28/2016,8/13/2023,1390,10/19/2023,Transfer,4155.51,7571.39,31,1390,37527.69,Personal,5.18,60,12/1/2022,Rejected,1390,AMEX,3527.27,807.52,40.38,2/7/2023,7/5/2023,7932,1390,5/10/2023,Complaint,Pending,6/6/2023
1391,Paul,Allen,23,Female,Address_1391,Dallas,19458796244,paul.allen@kag.com,Current,8618.39,4/30/2000,3/21/2023,1391,5/28/2023,Withdrawal,2829.09,11447.48,99,1391,7184.05,Mortgage,5.4,48,1/13/2022,Rejected,1391,AMEX,7702.68,4696,234.8,8/12/2023,10/29/2023,163,1391,12/18/2023,Complaint,Pending,9/8/2023
1392,Donna,Hall,59,Female,Address_1392,San Jose,19458796245,donna.hall@kag.com,Current,4665.9,1/20/2004,9/8/2023,1392,2/12/2023,Withdrawal,3774.35,891.55,39,1392,27033.49,Mortgage,4,36,5/22/2022,Rejected,1392,Visa,6747.29,1218.26,60.91,5/20/2023,1/2/2023,9351,1392,5/1/2023,Suggestion,Pending,10/31/2023
1393,Ashley,Scott,45,Female,Address_1393,Los Angeles,19458796246,ashley.scott@kag.com,Current,5887.91,6/14/2022,8/8/2023,1393,4/19/2023,Withdrawal,3729.46,2158.45,63,1393,40820.67,Personal,5.46,24,5/1/2021,Approved,1393,MasterCard,3702.78,2040.03,102,5/15/2023,10/10/2023,7148,1393,11/12/2023,Complaint,Pending,9/8/2023
1394,David,Martin,53,Male,Address_1394,San Antonio,19458796247,david.martin@kag.com,Current,1896.32,5/18/2021,10/27/2023,1394,4/9/2023,Transfer,3943.15,-2046.83,6,1394,25996.17,Personal,3.24,48,1/21/2021,Approved,1394,Visa,8704.46,2576.78,128.84,7/28/2023,5/15/2023,6779,1394,5/18/2023,Suggestion,Pending,3/11/2023
1395,Kimberly,Moore,40,Male,Address_1395,Nashville,19458796248,kimberly.moore@kag.com,Current,3626.69,1/25/2012,5/22/2023,1395,2/12/2023,Withdrawal,4347.34,-720.65,99,1395,1673.32,Auto,8.72,12,12/24/2022,Approved,1395,MasterCard,7557.61,4015.91,200.8,6/29/2023,6/27/2023,9178,1395,4/9/2023,Praise,Resolved,12/24/2023
1396,Amanda,Nguyen,29,Male,Address_1396,Denver,19458796249,amanda.nguyen@kag.com,Current,9299.13,11/6/2021,3/14/2023,1396,12/6/2023,Transfer,4598.13,4701,28,1396,12989.84,Personal,3.25,24,4/6/2021,Closed,1396,AMEX,9755.52,1946.42,97.32,6/26/2023,8/7/2023,9785,1396,5/3/2023,Complaint,Resolved,11/5/2023
1397,Andrew,Williams,59,Female,Address_1397,Boston,19458796250,andrew.williams@kag.com,Savings,3211.03,5/14/2001,7/24/2023,1397,4/14/2023,Withdrawal,1924.21,1286.82,51,1397,33760.65,Mortgage,3.32,24,5/12/2021,Approved,1397,Visa,7170.72,1707.8,85.39,6/1/2023,11/5/2023,3741,1397,12/29/2023,Complaint,Resolved,12/23/2023
1398,Lisa,Thompson,48,Female,Address_1398,Washington,19458796251,lisa.thompson@kag.com,Current,2580.55,4/23/2019,8/10/2023,1398,7/12/2023,Withdrawal,2224.15,4804.7,53,1398,46775.78,Personal,9.06,60,6/5/2022,Rejected,1398,Visa,7454.79,4913.89,245.69,7/6/2023,3/15/2023,498,1398,5/12/2023,Complaint,Pending,8/20/2023
1399,Amanda,Young,29,Female,Address_1399,Austin,19458796252,amanda.young@kag.com,Current,653.41,7/4/2016,6/9/2023,1399,4/25/2023,Transfer,259.79,393.62,44,1399,44793.66,Auto,5.79,36,6/14/2021,Approved,1399,MasterCard,8410.37,372.91,18.65,11/26/2023,10/24/2023,3658,1399,6/26/2023,Praise,Pending,6/29/2023
1400,Nancy,Hall,49,Female,Address_1400,Tucson,19458796253,nancy.hall@kag.com,Current,1062.59,8/11/2011,3/21/2023,1400,2/15/2023,Transfer,4629.27,5691.86,65,1400,41312.54,Mortgage,1.95,60,4/21/2020,Rejected,1400,MasterCard,9329.14,127.95,6.4,5/22/2023,5/20/2023,9908,1400,10/25/2023,Complaint,Pending,10/7/2023
1401,Thomas,Thomas,42,Female,Address_1401,Albuquerque,19458796254,thomas.thomas@kag.com,Savings,5889.41,4/23/2012,4/25/2023,1401,3/3/2023,Withdrawal,2939.85,8829.26,80,1401,47558.04,Auto,4.11,24,7/25/2021,Approved,1401,AMEX,3496.15,283.46,14.17,1/16/2023,11/8/2023,5497,1401,3/1/2023,Complaint,Pending,12/19/2023
1402,Elizabeth,Jones,68,Male,Address_1402,Nashville,19458796255,elizabeth.jones@kag.com,Savings,6634.32,2/22/2008,1/25/2023,1402,4/24/2023,Withdrawal,3564.45,10198.77,12,1402,14715.97,Mortgage,7.35,60,1/25/2022,Closed,1402,MasterCard,6813.4,4570.96,228.55,1/6/2023,3/18/2023,5196,1402,6/9/2023,Complaint,Resolved,8/27/2023
1403,Ashley,Brown,46,Female,Address_1403,Colorado Springs,19458796256,ashley.brown@kag.com,Savings,6451.65,7/21/2015,6/26/2023,1403,7/17/2023,Deposit,2185.67,8637.32,28,1403,1607.49,Personal,4.65,12,5/1/2021,Rejected,1403,MasterCard,4710.76,1163.92,58.2,8/17/2023,4/30/2023,3830,1403,3/16/2023,Complaint,Pending,3/26/2023
1404,Melissa,Lee,36,Other,Address_1404,Oklahoma City,19458796257,melissa.lee@kag.com,Current,5444.31,1/24/2002,10/6/2023,1404,9/9/2023,Withdrawal,2374.5,7818.81,79,1404,18364.36,Personal,4.81,48,2/21/2021,Rejected,1404,MasterCard,3065.18,218.48,10.92,6/2/2023,1/21/2023,3191,1404,5/25/2023,Suggestion,Pending,10/18/2023
1405,Daniel,Flores,39,Female,Address_1405,San Diego,19458796258,daniel.flores@kag.com,Savings,4960.62,7/28/2014,10/20/2023,1405,4/15/2023,Transfer,2720.45,7681.07,72,1405,29273.54,Personal,5.49,12,6/18/2020,Approved,1405,Visa,2729.1,3643.82,182.19,5/1/2023,11/25/2023,5901,1405,11/12/2023,Praise,Resolved,12/16/2023
1406,Emily,Wilson,41,Male,Address_1406,Atlanta,19458796259,emily.wilson@kag.com,Savings,814.2,9/3/2016,8/8/2023,1406,1/29/2023,Withdrawal,3978.83,4793.03,68,1406,16506.83,Personal,3,24,12/21/2021,Approved,1406,MasterCard,1882.32,3202.16,160.11,2/16/2023,8/17/2023,4314,1406,5/28/2023,Complaint,Pending,6/17/2023
1407,Thomas,Hill,50,Female,Address_1407,Dallas,19458796260,thomas.hill@kag.com,Savings,8422.88,5/3/2006,1/3/2023,1407,6/18/2023,Deposit,3068.71,11491.59,95,1407,3165.98,Personal,4.82,60,9/26/2020,Closed,1407,AMEX,8635.84,3958.73,197.94,12/25/2023,9/27/2023,5270,1407,3/5/2023,Complaint,Resolved,10/13/2023
1408,Stephanie,Walker,53,Other,Address_1408,Boston,19458796261,stephanie.walker@kag.com,Current,5179.5,7/29/2021,11/12/2023,1408,1/15/2023,Withdrawal,4057.94,9237.44,30,1408,25852.16,Mortgage,2.94,36,1/5/2020,Rejected,1408,MasterCard,1102.87,2618.6,130.93,6/28/2023,12/30/2023,8626,1408,2/17/2023,Suggestion,Pending,10/31/2023
1409,Thomas,Wilson,62,Female,Address_1409,Boston,19458796262,thomas.wilson@kag.com,Savings,1405.96,4/16/2006,11/11/2023,1409,5/2/2023,Deposit,1091.26,2497.22,35,1409,10785.12,Auto,4.16,36,5/3/2021,Approved,1409,Visa,9952.39,885.74,44.29,11/22/2023,1/22/2023,4225,1409,12/21/2023,Complaint,Pending,8/11/2023
1410,Susan,Garcia,57,Other,Address_1410,Tucson,19458796263,susan.garcia@kag.com,Savings,1444.91,5/31/2012,2/2/2023,1410,12/23/2023,Transfer,1037.14,407.77,6,1410,36650.99,Auto,5.79,24,6/6/2022,Approved,1410,MasterCard,9682.14,1453.02,72.65,2/1/2023,1/6/2023,9830,1410,8/24/2023,Praise,Pending,2/3/2023
